This file contains polygons for FIPS county codes from sometime around 2011.

The format is `fips_id<tab>county_name<tab>state(<tab>polygon)+'

There can be one or more polygons per county, each polygon is separated by an
additional tab character. Each polygon consists of lat,lon pairs. To properly
render these, the polygons will need to be tessellated.

An up-to-date version of this file can be found at:

  http://pileus.org/aweather/files/fips/

46073	Jerauld County	SD	44.1978950,-98.7012180 44.1975520,-98.9256670 43.9360120,-98.9259950 43.9385450,-98.3320080 44.1973990,-98.3320310 44.1978950,-98.7012180
27089	Marshall County	MN	48.5451620,-97.1663740 48.5325660,-97.1409070 48.4567110,-97.1270980 48.4048920,-97.1309810 48.3934780,-97.1605830 48.3253020,-97.1203990 48.2454070,-97.1445010 48.2085610,-97.1199650 48.1754300,-97.1365890 48.1742520,-96.5050280 48.1729200,-95.5927890 48.3670960,-95.5936430 48.3669740,-95.6017910 48.5405240,-95.6026760 48.5440520,-96.3901370 48.5437930,-96.8383640 48.5451620,-97.1663740
20047	Edwards County	KS	38.0874980,-99.5686870 37.8277740,-99.5684360 37.8265000,-99.5585100 37.7353900,-99.5583720 37.7339060,-99.0142210 37.8267940,-99.0224380 38.0008430,-99.0225070 38.0008280,-99.3495710 38.0874020,-99.3494030 38.0874980,-99.5686870
46075	Jones County	SD	44.1697540,-101.0459060 43.9957050,-101.0470500 43.9947130,-101.0661090 43.8393900,-101.0679930 43.8479040,-100.9887850 43.8097760,-100.9530110 43.8316960,-100.9347690 43.7899210,-100.8971180 43.7963600,-100.8749690 43.7600360,-100.8361360 43.7664720,-100.8108220 43.7242050,-100.7764430 43.7116200,-100.6814420 43.7654420,-100.5840300 43.7390480,-100.5555040 43.7363240,-100.4909130 43.7208440,-100.4712910 43.7358060,-100.3712390 43.7166520,-100.3383560 43.8464240,-100.3386840 43.8460010,-100.3659590 44.1667060,-100.3697810 44.1697540,-101.0459060
29211	Sullivan County	MO	40.3830800,-93.3698960 40.0334660,-93.3704610 40.0391620,-92.8533630 40.3878440,-92.8575060 40.3830800,-93.3698960
20049	Elk County	KS	37.6079330,-96.5255580 37.3032720,-96.5266950 37.2996220,-95.9631270 37.6033820,-95.9608610 37.6079330,-96.5255580
46077	Kingsbury County	SD	44.5449680,-97.1284940 44.5436170,-97.4920960 44.5453410,-97.8529510 44.1964110,-97.8505940 44.1964610,-97.1285710 44.5449680,-97.1284940
29213	Taney County	MO	36.8092960,-92.9070970 36.8168030,-93.3066330 36.4970510,-93.3152310 36.4969520,-92.7743230 36.8060650,-92.7645420 36.8092960,-92.9070970
29101	Johnson County	MO	38.9171180,-94.1183010 38.6558530,-94.1307830 38.6555480,-94.1195760 38.5689430,-94.1217800 38.5665170,-94.0640410 38.5591350,-93.5118330 38.9005660,-93.4958800 38.9290960,-93.4992290 38.9381370,-93.8377460 38.9091190,-93.8389890 38.9171180,-94.1183010
46079	Lake County	SD	44.1965070,-96.8874210 44.1959800,-97.3697050 43.8499760,-97.3678130 43.8500980,-96.8899000 44.1965070,-96.8874210
29215	Texas County	MO	37.6046910,-92.0307850 37.6044310,-92.2498020 37.2576600,-92.2521130 37.2576450,-92.2451710 37.0631680,-92.2492980 37.0530050,-91.7609180 37.0486870,-91.6554410 37.4253580,-91.6465230 37.4278640,-91.7513960 37.6010360,-91.7531360 37.6046910,-92.0307850
48091	Comal County	TX	30.0395320,-98.2985760 29.7476620,-98.6477510 29.7431830,-98.5837100 29.7601450,-98.5497820 29.7452070,-98.5290300 29.7325920,-98.4451830 29.7445740,-98.4181590 29.7228300,-98.3423840 29.7045800,-98.3779450 29.6642820,-98.3792570 29.6551060,-98.3479390 29.6174790,-98.3444900 29.5972810,-98.3123700 29.6363390,-98.2045140 29.6857010,-98.0894780 29.7537290,-97.9996030 29.8492660,-98.0388640 30.0395320,-98.2985760
29103	Knox County	MO	40.3057400,-92.3524860 40.2191280,-92.3478470 39.9538840,-92.3466030 39.9509850,-91.9548650 40.2175640,-91.9480290 40.3055420,-91.9503630 40.3082540,-92.0642850 40.3057400,-92.3524860
29217	Vernon County	MO	38.0596390,-94.6147160 37.6538580,-94.6163560 37.6398430,-94.0747150 37.7559050,-94.0736920 38.0362510,-94.0580520 38.0313870,-94.0836640 38.0583880,-94.1333470 38.0336380,-94.2192920 38.0510250,-94.2401580 38.0596390,-94.6147160
48093	Comanche County	TX	32.0811200,-98.9253690 31.9677070,-98.8453450 31.7003190,-98.6710210 31.7245500,-98.4945680 31.6858120,-98.4640810 31.8395200,-98.1586610 31.9782910,-98.2516250 31.9411580,-98.3290940 32.2593310,-98.5555040 32.1422160,-98.7908780 32.0811200,-98.9253690
38021	Dickey County	ND	46.2813680,-98.0090030 46.2807850,-98.5023730 46.2821770,-99.0048680 45.9393080,-99.0053710 45.9354550,-98.3537370 45.9355240,-98.0095440 46.2813680,-98.0090030
